,Address,Lat,Lng
128,"716 Adelaide St W, Toronto",43.64448461818182,-79.40745177727273
129,"88 Tecumseth St, Toronto",43.64383625,-79.4055815
130,"149 Robert St, Toronto",43.663457928571425,-79.40403142857143
131,"25 Borden St, Toronto",43.657978856,-79.405370184
132,"316 Robert St, Toronto",43.666085117647064,-79.40533641176471
133,"285 Brunswick Ave, Toronto",43.66532391612903,-79.40710657741936
134,"135 Brunswick Ave, Toronto",43.66148576,-79.40547049999999
135,"284 Borden St, Toronto",43.66458268,-79.40836134
136,"95 Brunswick Ave, Toronto",43.660359955555556,-79.40492332222222
137,"99 Sussex Ave, Toronto",43.6637025,-79.4070472
138,"710 Richmond St W, Toronto",43.645773,-79.407624175
139,"10 Draper St, Toronto",43.64214092857143,-79.39786964285715
140,"242 Robert St, Toronto",43.663956533333334,-79.40449711851852
141,"165 Robert St, Toronto",43.663983071428575,-79.40424057142857
142,"6 Lennox St, Toronto",43.6639668,-79.410079
143,"48 Robert St, Toronto",43.65907231910112,-79.4026128235955
144,"11 Croft St, Toronto",43.6572372,-79.4059689
145,"112 Borden St, Toronto",43.65979494117647,-79.40644276470589
146,"9 Whitaker Ave, Toronto",43.64380606715756,-79.40625621630629
147,"34 Borden St, Toronto",43.65789888260869,-79.40568801739131
148,"88 Brunswick Ave, Toronto",43.659840117391305,-79.40534071304349
149,"31 Major St, Toronto",43.65861171428571,-79.40303597142857
150,"56 Robert St, Toronto",43.659263487640445,-79.4026877494382
151,"48 Stewart St, Toronto",43.64340565384615,-79.40178773076923
152,"532 Richmond St W, Toronto",43.64735726923077,-79.40003775384615
153,"9 Croft St, Toronto",43.6572372,-79.4059689
154,"101 Borden St, Toronto",43.66015222083333,-79.40633053333333
155,"67 Major St, Toronto",43.65947749523809,-79.40338942380953
156,"270 Brunswick Ave, Toronto",43.66486,-79.40716805
157,"80 Willcocks St, Toronto",43.66126976,-79.40229889999999
158,"213 Major St, Toronto",43.66375814285714,-79.40519457142857
159,"19 Borden St, Toronto",43.657854968,-79.405301652
160,"257 Borden St, Toronto",43.6649216,-79.4082415
161,"274 Major St, Toronto",43.66521866153846,-79.40602756153847
162,"170 Borden St, Toronto",43.6612317,-79.40702155
163,"83 Tecumseth St, Toronto",43.644021,-79.405391
164,"99 Brunswick Ave, Toronto",43.66045965185185,-79.4049649074074
165,"76 Brunswick Ave, Toronto",43.65951083478261,-79.40520992608695
166,"184 Strachan Ave, Toronto",43.6447596,-79.41318903333334
167,"112 Harbord St, Toronto",43.6628834,-79.403745
168,"111 Walnut Ave, Toronto",43.64226627777778,-79.40801781111111
169,"215 Major St, Toronto",43.66380228571429,-79.40521214285714
170,"26 Brunswick Ave, Toronto",43.65813882391304,-79.40466498043479
171,"296 Borden St, Toronto",43.6647928,-79.408443
172,"707 Richmond St W, Toronto",43.645682094444446,-79.40716685555556
173,"102 Robert St, Toronto",43.66036270674157,-79.40311857303371
174,"74 Niagara St, Toronto",43.64170361111111,-79.40337233333334
175,"94 Harbord St, Toronto",43.6629874,-79.4031901
176,"66 Brunswick Ave, Toronto",43.659236432608694,-79.40510093695653
177,"556/558 Spadina Cres, Toronto",43.66000972830256,-79.401728308157
178,"150 Claremont St, Toronto",43.65022106956522,-79.4113392173913
179,"196 Manning Ave, Toronto",43.6511122,-79.4109548
180,"15 Rebecca St, Toronto",43.645081,-79.41849384444444
181,"13 Bellwoods Ave, Toronto",43.64678956666666,-79.41101735833332
182,"126 Manning Ave, Toronto",43.64939725806452,-79.41027797419355
183,"136 Montrose Ave, Toronto",43.653423230303034,-79.4173319
184,"38 Euclid Ave, Toronto",43.647472175,-79.40828683333334
185,"151 Gore Vale Ave, Toronto",43.6501428037037,-79.41310834814816
186,"24 Argyle St, Toronto",43.64740044285714,-79.41816825714287
187,"97 Claremont St, Toronto",43.649164731999996,-79.410669364
188,"26 Mansfield Ave, Toronto",43.653730149999994,-79.41272483333333
189,"257 Claremont St, Toronto",43.652843077777774,-79.41213276666667
190,"6 Grace St, Toronto",43.65087522,-79.4141786
191,"139 Wolseley St, Toronto",43.64751433333333,-79.405954
192,"26 Collahie St, Toronto",43.648941442857144,-79.42908531428571
193,"239 Bellwoods Ave, Toronto",43.65280088666667,-79.41342068666667
194,"32 Mackenzie Cres, Toronto",43.6485629039449,-79.42508270470917
195,"93 Argyle St, Toronto",43.6465156,-79.4210775
196,"159 Wolseley St, Toronto",43.647409076742576,-79.40655610176812
197,"28 Grace St, Toronto",43.651463750000005,-79.41439255
198,"1A Bellwoods Ave, Toronto",43.6462914,-79.4107627
199,"151 Claremont St, Toronto",43.65036600416666,-79.41114418333333
200,"158 Bellwoods Ave, Toronto",43.65030686666667,-79.4126722
201,"115 Harrison St, Toronto",43.65065647894737,-79.42218435263158
202,"255 Claremont St, Toronto",43.652809588888886,-79.41211953333334
203,"83 Claremont St, Toronto",43.648836768,-79.41053773600001
204,"387 Crawford St, Toronto",43.6538569,-79.41830747857142
205,"180 Manning Ave, Toronto",43.65064801538462,-79.4107751076923
206,"251 Crawford St, Toronto",43.6502579,-79.41694561999999
207,"38 Grove Ave, Toronto",43.64858131818182,-79.42316345454546
208,"8 Fennings St, Toronto",43.64421721874012,-79.42158630931156
209,"144 Manning Ave, Toronto",43.649943225,-79.410494625
210,"365 Dovercourt Rd, Toronto",43.6703816,-79.4330235
211,"343 Crawford St, Toronto",43.65265806666667,-79.41789025151515
212,"72 Montrose Ave, Toronto",43.65196742424242,-79.4168007
213,"362 Shaw St, Toronto",43.652249947826085,-79.41941267391304
214,"43 Claremont St, Toronto",43.64777599090909,-79.41010994545454
215,"147 Argyle St, Toronto",43.6458901,-79.4240597
216,"118 Argyle St, Toronto",43.64654376857143,-79.42232985142857
217,"118 Montrose Ave, Toronto",43.65301378484848,-79.4171825
218,"262 Euclid Ave, Toronto",43.652844275,-79.410358096875
219,"33 Montrose Ave, Toronto",43.6514369,-79.41629680136987
220,"200 Euclid Ave, Toronto",43.6513119875,-79.40974049375
221,"169 Bellwoods Ave, Toronto",43.65073003333333,-79.41259236666666
222,"17 Claremont St, Toronto",43.6469818,-79.4096804
223,"134 Claremont St, Toronto",43.6499141826087,-79.41121949565218
224,"169 Gore Vale Ave, Toronto",43.65058137037037,-79.41328191481482
225,"210 Markham St, Toronto",43.653631325,-79.40802743214286
226,"7 Beatrice St, Toronto",43.650709649999996,-79.4148871
227,"92 Manning Ave, Toronto",43.64876014193548,-79.41002582580644
228,"78 Bellwoods Ave, Toronto",43.64843952,-79.41192568
229,"146 Beatrice St, Toronto",43.654443435616436,-79.41659011095891
230,"119 Markham St, Toronto",43.6509659258748,-79.40668916372658
231,"141 Claremont St, Toronto",43.65016373333333,-79.41106526666667
232,"143 Montrose Ave, Toronto",43.653664400000004,-79.41716873972604
233,"70 Givins St, Toronto",43.6466829,-79.418569725
234,"53 Beatrice St, Toronto",43.651983092753625,-79.4153780826087
235,"14 Gore St, Toronto",43.65463476,-79.41450164
236,"51 Claremont St, Toronto",43.64793035454545,-79.41017252727272
237,"420 Ossington Ave, Toronto",43.65378474,-79.42265662
238,"18 Bellwoods Ave, Toronto",43.6466174,-79.4112005
239,"215 Crawford St, Toronto",43.6482909,-79.41615054
240,"293 Euclid Ave, Toronto",43.65336266857143,-79.41031486857143
241,"439 Shaw St, Toronto",43.653695766666665,-79.41960116666667
242,"397 Crawford St, Toronto",43.6539844,-79.41841965714286
243,"159 Bellwoods Ave, Toronto",43.6504832,-79.4124917
244,"74 Bellwoods Ave, Toronto",43.64835056,-79.41189077333334
245,"20 Manning Ave, Toronto",43.6469763,-79.40900623333333
246,"13 Foxley St, Toronto",43.64750870833333,-79.420963575
